domain,project,BEASS2_ID
technology,dltk,197247
technology,dltk,221823
technology,dltk,221825
technology,dltk,186498
technology,dltk,211074
technology,dltk,221315
technology,dltk,297602
technology,dltk,253569
technology,dltk,197769
technology,dltk,254090
technology,dltk,195213
technology,dltk,231566
technology,dltk,185487
technology,dltk,197265
technology,dltk,197266
technology,dltk,177301
technology,dltk,180374
technology,dltk,193174
technology,dltk,219286
technology,dltk,180378
technology,dltk,253595
technology,dltk,187549
technology,dltk,180382
technology,dltk,192159
technology,dltk,192161
technology,dltk,188066
technology,dltk,329379
technology,dltk,254117
technology,dltk,208553
technology,dltk,221869
technology,dltk,216238
technology,dltk,207535
technology,dltk,215216
technology,dltk,199856
technology,dltk,190642
technology,dltk,253620
technology,dltk,206005
technology,dltk,216246
technology,dltk,206007
technology,dltk,213176
technology,dltk,229561
technology,dltk,422075
technology,dltk,206524
technology,dltk,249519
technology,dltk,213183
technology,dltk,254143
technology,dltk,336574
technology,dltk,213186
technology,dltk,217795
technology,dltk,201923
technology,dltk,183493
technology,dltk,255175
technology,dltk,336575
technology,dltk,198860
technology,dltk,176333
technology,dltk,191182
technology,dltk,231118
technology,dltk,227024
technology,dltk,289491
technology,dltk,198870
technology,dltk,198871
technology,dltk,401623
technology,dltk,217305
technology,dltk,254169
technology,dltk,180443
technology,dltk,227036
technology,dltk,180446
technology,dltk,180448
technology,dltk,210657
technology,dltk,230113
technology,dltk,198883
technology,dltk,230116
technology,dltk,230117
technology,dltk,199397
technology,dltk,199398
technology,dltk,256231
technology,dltk,199401
technology,dltk,227049
technology,dltk,255209
technology,dltk,198381
technology,dltk,227054
technology,dltk,227040
technology,dltk,278254
technology,dltk,323825
technology,dltk,190707
technology,dltk,254195
technology,dltk,258293
technology,dltk,209654
technology,dltk,217335
technology,dltk,176377
technology,dltk,177914
technology,dltk,342780
technology,dltk,204543
technology,dltk,494823
technology,dltk,257229
technology,dltk,509194
technology,dltk,325387
technology,dltk,227084
technology,dltk,230157
technology,dltk,227086
technology,dltk,254224
technology,dltk,211732
technology,dltk,198933
technology,dltk,189206
technology,dltk,225557
technology,dltk,211736
technology,dltk,195355
technology,dltk,211740
technology,dltk,218909
technology,dltk,211743
technology,dltk,210719
technology,dltk,182049
technology,dltk,196898
technology,dltk,207138
technology,dltk,232227
technology,dltk,201506
technology,dltk,227109
technology,dltk,188201
technology,dltk,202027
technology,dltk,206124
technology,dltk,206125
technology,dltk,254251
technology,dltk,203055
technology,dltk,265003
technology,dltk,191794
technology,dltk,213298
technology,dltk,191796
technology,dltk,312114
technology,dltk,191798
technology,dltk,175414
technology,dltk,185656
technology,dltk,386350
technology,dltk,191810
technology,dltk,254274
technology,dltk,194885
technology,dltk,275270
technology,dltk,231752
technology,dltk,182088
technology,dltk,214858
technology,dltk,199498
technology,dltk,202575
technology,dltk,228179
technology,dltk,187221
technology,dltk,213846
technology,dltk,197463
technology,dltk,197465
technology,dltk,197466
technology,dltk,197467
technology,dltk,182617
technology,dltk,217438
technology,dltk,254302
technology,dltk,196449
technology,dltk,214883
technology,dltk,222564
technology,dltk,203099
technology,dltk,226153
technology,dltk,249706
technology,dltk,212331
technology,dltk,212332
technology,dltk,212333
technology,dltk,247147
technology,dltk,257385
technology,dltk,231792
technology,dltk,175475
technology,dltk,201076
technology,dltk,201077
technology,dltk,209782
technology,dltk,252781
technology,dltk,254328
technology,dltk,318330
technology,dltk,348539
technology,dltk,473983
technology,dltk,204676
technology,dltk,208774
technology,dltk,184199
technology,dltk,227208
technology,dltk,175503
technology,dltk,300947
technology,dltk,254356
technology,dltk,253846
technology,dltk,192409
technology,dltk,208282
technology,dltk,202139
technology,dltk,229276
technology,dltk,229274
technology,dltk,229278
technology,dltk,202137
technology,dltk,253343
technology,dltk,211867
technology,dltk,272799
technology,dltk,237987
technology,dltk,213414
technology,dltk,227751
technology,dltk,215465
technology,dltk,230825
technology,dltk,232876
technology,dltk,180142
technology,dltk,254382
technology,dltk,180144
technology,dltk,265629
technology,dltk,232884
technology,dltk,253368
technology,dltk,398266
technology,dltk,217021
technology,dltk,488893
technology,dltk,213443
technology,dltk,209349
technology,dltk,189381
technology,dltk,221126
technology,dltk,369093
technology,dltk,209353
technology,dltk,190410
technology,dltk,419273
technology,dltk,191439
technology,dltk,257488
technology,dltk,253393
technology,dltk,230354
technology,dltk,227282
technology,dltk,189395
technology,dltk,190420
technology,dltk,497622
technology,dltk,228823
technology,dltk,204763
technology,dltk,205788
technology,dltk,228828
technology,dltk,191454
technology,dltk,273372
technology,dltk,227296
technology,gef3d,283603
technology,gef3d,269340
technology,gef3d,284365
technology,gef3d,342830
technology,gef3d,294695
soa,stardust,437985
soa,stardust,399843
soa,stardust,417891
soa,stardust,434406
soa,stardust,437991
soa,stardust,437990
soa,stardust,477290
soa,stardust,400108
soa,stardust,402285
soa,stardust,402287
soa,stardust,402288
soa,stardust,438001
soa,stardust,402290
soa,stardust,402291
soa,stardust,402292
soa,stardust,438004
soa,stardust,402294
soa,stardust,426231
soa,stardust,426232
soa,stardust,426233
soa,stardust,438007
soa,stardust,402299
soa,stardust,444790
soa,stardust,444791
soa,stardust,403454
soa,stardust,438005
soa,stardust,417408
soa,stardust,467564
soa,stardust,426242
soa,stardust,426244
soa,stardust,425733
soa,stardust,477333
soa,stardust,468246
soa,stardust,369943
soa,stardust,399895
soa,stardust,408094
soa,stardust,437921
soa,stardust,468258
soa,stardust,494627
soa,stardust,404772
soa,stardust,425895
soa,stardust,408106
soa,stardust,468257
soa,stardust,408108
soa,stardust,408109
soa,stardust,408110
soa,stardust,408111
soa,stardust,408112
soa,stardust,426420
soa,stardust,426421
soa,stardust,486581
soa,stardust,485687
soa,stardust,405694
soa,stardust,401863
soa,stardust,401864
soa,stardust,403658
soa,stardust,378956
soa,stardust,496718
soa,stardust,496719
soa,stardust,418640
soa,stardust,500950
soa,stardust,500951
rt,vertx,420834
rt,vertx,424867
rt,vertx,480026
rt,vertx,432546
rt,vertx,477341
rt,vertx,458399
rt,vertx,437518
rt,vertx,415403
rt,vertx,415404
rt,vertx,415405
rt,vertx,424685
rt,vertx,415407
rt,vertx,421549
rt,vertx,415409
rt,vertx,415410
rt,vertx,415411
rt,vertx,415412
rt,vertx,474678
rt,vertx,418679
rt,vertx,415417
rt,vertx,419514
rt,vertx,426555
rt,vertx,425211
rt,vertx,415421
rt,vertx,415422
rt,vertx,415423
rt,vertx,415424
rt,vertx,437505
rt,vertx,415426
rt,vertx,415427
rt,vertx,415429
rt,vertx,419525
rt,vertx,437309
rt,vertx,432837
rt,vertx,436735
rt,vertx,448891
rt,vertx,455173
rt,vertx,482207
rt,vertx,421133
rt,vertx,419213
rt,vertx,420943
rt,vertx,434576
rt,vertx,437457
rt,vertx,424594
rt,vertx,424595
rt,vertx,424788
rt,vertx,436434
rt,vertx,426519
rt,vertx,435607
rt,vertx,421273
rt,vertx,474393
rt,vertx,462363
rt,vertx,415452
rt,vertx,415453
rt,vertx,433757
rt,vertx,435996
rt,vertx,437280
