domain,project,value,os,priority,hardware,version,component,severity,assignee,product,status,total
modeling,epsilon,min,0,1,0,0,14,0,0,14,0,535
modeling,epsilon,max,18,16,0,636,1511,859,0,1511,0,535
eclipse,platform,avg,430,383,498,293,229,375,0,194,0,110606
eclipse,platform,min,0,0,0,0,0,0,0,0,0,110606
eclipse,platform,max,2947,2424,2947,2202,1449,2947,0,1449,0,110606
modeling,emft.facet,avg,9,219,9,190,273,101,0,0,0,828
modeling,emft.facet,min,0,0,0,0,0,0,0,0,0,828
modeling,emft.facet,max,25,975,25,946,546,442,0,0,0,828
tools,ptp,avg,176,225,65,258,390,188,0,584,0,2732
tools,ptp,min,0,0,0,0,0,0,0,0,0,2732
tools,ptp,max,501,1486,332,1222,1407,692,0,1222,0,2732
iot,paho,avg,26,0,26,0,41,0,0,0,0,143
iot,paho,min,0,0,0,0,2,0,0,0,0,143
iot,paho,max,42,0,42,0,80,0,0,0,0,143
modeling,etrice,avg,0,251,0,52,0,468,0,0,0,541
modeling,etrice,min,0,0,0,0,0,0,0,0,0,541
modeling,etrice,max,0,501,0,273,0,1588,0,0,0,541
birt,birt,avg,80,238,87,199,103,119,0,32,0,23056
birt,birt,min,0,0,0,0,0,0,0,0,0,23056
birt,birt,max,388,1530,388,1048,1182,933,0,166,0,23056
modeling,mdt.uml2,avg,0,660,0,91,109,269,0,130,0,960
modeling,mdt.uml2,min,0,0,0,0,0,0,0,0,0,960
modeling,mdt.uml2,max,0,1392,0,505,682,1237,0,682,0,960
tools,objectteams,avg,0,204,0,16,1,13,0,0,0,664
tools,objectteams,min,0,0,0,0,1,0,0,0,0,664
tools,objectteams,max,0,440,0,49,1,22,0,0,0,664
rt,virgo,avg,188,25,83,14,286,97,0,1,0,1580
rt,virgo,min,0,0,0,0,0,0,0,0,0,1580
rt,virgo,max,630,55,279,36,1688,964,0,1,0,1580
